code,code desc.,service,make,car name,car code,model name,year start,year end,group,short name,qs code,part code,price,duracao,description
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,DAI,DAIHATSU,SIR04,SIRION,2004,2013,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,DAI,DAIHATSU,SIR99,SIRION,1999,2004,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,DAI,DAIHATSU,TER06,TERIOS,2006,2013,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,DAI,DAIHATSU,TER96,TERIOS,1996,,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,FIA,FIAT,DOB,DOBLO,1998,2009,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,FIA,FIAT,PAL96,PALIO,1996,2000,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,FIA,FIAT,PAN10,PANDA,2010,2012,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,FIA,FIAT,PUN04,PUNTO,2004,2018,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,FOR,FORD,BAN03,BANTAM ,2003,2011,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,FOR,FORD,BAN86,BANTAM ,1986,1990,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,FOR,FORD,BAN94,BANTAM ,1994,1990,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,FOR,FORD,FIE96,FIESTA,1996,2002,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,FOR,FORD,FIE99,FIESTA,1999,2002,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,FOR,FORD,FOC03,FOCUS ,2003,2005,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,FOR,FORD,IKO07,IKON ,2007,2012,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,FOR,FORD,MON01,MONDEO,2001,2007,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,FOR,FORD,SIE89,SIERRA,1989,1993,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,FOR,FORD,XPR95,EXPLORER ,1995,2001,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,GWM,GWM ,HOV07,HOVER ,2007,2012,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HON,HONDA,ACC03,ACCORD ,2003,2007,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HON,HONDA,ACC97,ACCORD ,1997,2002,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HON,HONDA,BAL89,BALLADE,1989,2003,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HON,HONDA,CIV02,CIVIC,2002,2005,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HON,HONDA,CIV05,CIVIC,2005,2011,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HON,HONDA,CIV97,CIVIC,1997,2000,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HON,HONDA,FIT04,FIT,2004,2008,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HON,HONDA,FIT08,FIT,2008,2014,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HON,HONDA,JAZ04,JAZZ ,2004,2008,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HON,HONDA,JAZ08,JAZZ ,2008,2011,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HYU,HYUNDAI,ACC05,ACCENT ,2005,2010,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HYU,HYUNDAI,ATO97,ATOS,1997,2002,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HYU,HYUNDAI,ELA01,ELANTRA,2001,2006,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HYU,HYUNDAI,ELA03,ELANTRA,2003,2006,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HYU,HYUNDAI,ELA96,ELANTRA,1996,2000,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HYU,HYUNDAI,GET02,GETZ,2002,2011,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,HYU,HYUNDAI,I1008,I10,2008,2013,PNEU,TY,1,QSLE-TY001,800,30,
